Targets, Observers 21 2
Main in iteration 0
Observers observed in 752is 3
Observers observed in 753is 3
Observers observed in 754is 3
Observers observed in 755is 2
Observers observed in 756is 2
Observers observed in 757is 2
Observers observed in 758is 2
Observers observed in 759is 2
Observers observed in 760is 2
Observers observed in 761is 1
Observers observed in 762is 1
Observers observed in 763is 1
Observers observed in 764is 1
Observers observed in 765is 1
Observers observed in 766is 1
Observers observed in 767is 1
Observers observed in 768is 1
Observers observed in 769is 1
Observers observed in 770is 1
Observers observed in 771is 1
Observers observed in 772is 0
Observers observed in 773is 0
Observers observed in 774is 0
Observers observed in 775is 0
Observers observed in 776is 0
Observers observed in 777is 0
Observers observed in 778is 0
Observers observed in 779is 0
Observers observed in 780is 0
Observers observed in 781is 0
Observers observed in 782is 0
Observers observed in 783is 0
Observers observed in 784is 0
Observers observed in 785is 0
Observers observed in 786is 0
Observers observed in 787is 0
Observers observed in 788is 0
Observers observed in 789is 0
Observers observed in 790is 0
Observers observed in 791is 0
Observers observed in 792is 0
Observers observed in 793is 0
Observers observed in 794is 0
Observers observed in 795is 0
Observers observed in 796is 0
Observers observed in 797is 0
Observers observed in 798is 0
Observers observed in 799is 0
Observers observed in 800is 0
Observers observed in 801is 0
Observers observed in 802is 0
Observers observed in 803is 0
Observers observed in 804is 0
Observers observed in 805is 0
Observers observed in 806is 0
Observers observed in 807is 0
Observers observed in 808is 0
Observers observed in 809is 0
Observers observed in 810is 0
Observers observed in 811is 0
Observers observed in 812is 0
Observers observed in 813is 0
Observers observed in 814is 0
Observers observed in 815is 0
Observers observed in 816is 0
Observers observed in 817is 0
Observers observed in 818is 0
Observers observed in 819is 0
Observers observed in 820is 0
Observers observed in 821is 0
Observers observed in 822is 0
Observers observed in 823is 0
Observers observed in 824is 0
Observers observed in 825is 0
Observers observed in 826is 0
Observers observed in 827is 0
Observers observed in 828is 0
Observers observed in 829is 0
Observers observed in 830is 0
Observers observed in 831is 0
Observers observed in 832is 0
Observers observed in 833is 0
Observers observed in 834is 0
Observers observed in 835is 0
Observers observed in 836is 0
Observers observed in 837is 0
Observers observed in 838is 0
Observers observed in 839is 0
Observers observed in 840is 0
Observers observed in 841is 0
Observers observed in 842is 0
Observers observed in 843is 0
Observers observed in 844is 0
Observers observed in 845is 0
Observers observed in 846is 0
Observers observed in 847is 0
Observers observed in 848is 0
Observers observed in 849is 0
Observers observed in 850is 0
Observers observed in 851is 0
Observers observed in 852is 0
Observers observed in 853is 0
Observers observed in 854is 0
Observers observed in 855is 0
Observers observed in 856is 0
Observers observed in 857is 0
Observers observed in 858is 0
Observers observed in 859is 0
Observers observed in 860is 0
Observers observed in 861is 0
Observers observed in 862is 0
Observers observed in 863is 0
Observers observed in 864is 0
Observers observed in 865is 0
Observers observed in 866is 0
Observers observed in 867is 0
Observers observed in 868is 0
Observers observed in 869is 0
Observers observed in 870is 0
Observers observed in 871is 0
Observers observed in 872is 0
Observers observed in 873is 0
Observers observed in 874is 0
Observers observed in 875is 0
Observers observed in 876is 0
Observers observed in 877is 0
Observers observed in 878is 0
Observers observed in 879is 0
Observers observed in 880is 0
Observers observed in 881is 0
Observers observed in 882is 0
Observers observed in 883is 0
Observers observed in 884is 0
Observers observed in 885is 0
Observers observed in 886is 0
Observers observed in 887is 0
Observers observed in 888is 0
Observers observed in 889is 0
Observers observed in 890is 0
Observers observed in 891is 0
Observers observed in 892is 0
Observers observed in 893is 0
Observers observed in 894is 1
Observers observed in 895is 1
Observers observed in 896is 1
Observers observed in 897is 1
Observers observed in 898is 1
Observers observed in 899is 1
Observers observed in 900is 1
Observers observed in 901is 1
Observers observed in 902is 1
Observers observed in 903is 1
Observers observed in 904is 1
Observers observed in 905is 1
Observers observed in 906is 1
Observers observed in 907is 1
Observers observed in 908is 0
Observers observed in 909is 0
Observers observed in 910is 1
Observers observed in 911is 1
Observers observed in 912is 1
Observers observed in 913is 1
Observers observed in 914is 1
Observers observed in 915is 1
Observers observed in 916is 1
Observers observed in 917is 1
Observers observed in 918is 1
Observers observed in 919is 1
Observers observed in 920is 1
Observers observed in 921is 1
Observers observed in 922is 1
Observers observed in 923is 1
Observers observed in 924is 1
Observers observed in 925is 1
Observers observed in 926is 0
Observers observed in 927is 0
Observers observed in 928is 0
Observers observed in 929is 0
Observers observed in 930is 0
Observers observed in 931is 0
Observers observed in 932is 0
Observers observed in 933is 0
Observers observed in 934is 0
Observers observed in 935is 0
Observers observed in 936is 0
Observers observed in 937is 0
Observers observed in 938is 0
Observers observed in 939is 0
Observers observed in 940is 0
Observers observed in 941is 0
Observers observed in 942is 0
Observers observed in 943is 0
Observers observed in 944is 0
Observers observed in 945is 0
Observers observed in 946is 0
Observers observed in 947is 0
Observers observed in 948is 0
Observers observed in 949is 0
Observers observed in 950is 0
Observers observed in 951is 0
Observers observed in 952is 0
Observers observed in 953is 0
Observers observed in 954is 0
Observers observed in 955is 0
Observers observed in 956is 0
Observers observed in 957is 0
Observers observed in 958is 0
Observers observed in 959is 0
Observers observed in 960is 0
Observers observed in 961is 0
Observers observed in 962is 0
Observers observed in 963is 0
Observers observed in 964is 0
Observers observed in 965is 1
Observers observed in 966is 1
Observers observed in 967is 1
Observers observed in 968is 1
Observers observed in 969is 1
Observers observed in 970is 1
Observers observed in 971is 1
Observers observed in 972is 1
Observers observed in 973is 0
Observers observed in 974is 0
Observers observed in 975is 0
Observers observed in 976is 0
Observers observed in 977is 0
Observers observed in 978is 0
Observers observed in 979is 0
Observers observed in 980is 0
Observers observed in 981is 0
Observers observed in 982is 0
Observers observed in 983is 0
Observers observed in 984is 0
Observers observed in 985is 0
Observers observed in 986is 0
Observers observed in 987is 0
Observers observed in 988is 0
Observers observed in 989is 0
Observers observed in 990is 0
Observers observed in 991is 0
Observers observed in 992is 0
Observers observed in 993is 0
Observers observed in 994is 0
Observers observed in 995is 0
Observers observed in 996is 0
Observers observed in 997is 0
Observers observed in 998is 0
Observers observed in 999is 0
Observers observed in 1000is 0
Observers observed in 1001is 0
Observers observed in 1002is 0
Observers observed in 1003is 0
Observers observed in 1004is 0
Observers observed in 1005is 0
Observers observed in 1006is 0
Observers observed in 1007is 0
Observers observed in 1008is 0
Observers observed in 1009is 0
Observers observed in 1010is 0
Observers observed in 1011is 0
Observers observed in 1012is 0
Observers observed in 1013is 0
Observers observed in 1014is 0
Observers observed in 1015is 0
Observers observed in 1016is 0
Observers observed in 1017is 0
Observers observed in 1018is 0
Observers observed in 1019is 0
Observers observed in 1020is 0
Observers observed in 1021is 0
Observers observed in 1022is 0
Observers observed in 1023is 0
Observers observed in 1024is 0
Observers observed in 1025is 0
Observers observed in 1026is 0
Observers observed in 1027is 0
Observers observed in 1028is 0
Observers observed in 1029is 0
Observers observed in 1030is 0
Observers observed in 1031is 0
Observers observed in 1032is 0
Observers observed in 1033is 0
Observers observed in 1034is 0
Observers observed in 1035is 0
Observers observed in 1036is 0
Observers observed in 1037is 0
Observers observed in 1038is 0
Observers observed in 1039is 0
Observers observed in 1040is 0
Observers observed in 1041is 0
Observers observed in 1042is 0
Observers observed in 1043is 0
Observers observed in 1044is 0
Observers observed in 1045is 0
Observers observed in 1046is 0
Observers observed in 1047is 0
Observers observed in 1048is 0
Observers observed in 1049is 0
Observers observed in 1050is 0
Observers observed in 1051is 0
Observers observed in 1052is 0
Observers observed in 1053is 0
Observers observed in 1054is 0
Observers observed in 1055is 0
Observers observed in 1056is 0
Observers observed in 1057is 0
Observers observed in 1058is 0
Observers observed in 1059is 0
Observers observed in 1060is 0
Observers observed in 1061is 0
Observers observed in 1062is 0
Observers observed in 1063is 0
Observers observed in 1064is 0
Observers observed in 1065is 0
Observers observed in 1066is 0
Observers observed in 1067is 0
Observers observed in 1068is 0
Observers observed in 1069is 0
Observers observed in 1070is 0
Observers observed in 1071is 0
Observers observed in 1072is 0
Observers observed in 1073is 0
Observers observed in 1074is 0
Observers observed in 1075is 0
Observers observed in 1076is 0
Observers observed in 1077is 0
Observers observed in 1078is 0
Observers observed in 1079is 0
Observers observed in 1080is 0
Observers observed in 1081is 0
Observers observed in 1082is 0
Observers observed in 1083is 0
Observers observed in 1084is 0
Observers observed in 1085is 0
Observers observed in 1086is 0
Observers observed in 1087is 0
Observers observed in 1088is 0
Observers observed in 1089is 0
Observers observed in 1090is 0
Observers observed in 1091is 0
Observers observed in 1092is 0
Observers observed in 1093is 0
Observers observed in 1094is 0
Observers observed in 1095is 0
Observers observed in 1096is 0
Observers observed in 1097is 0
Observers observed in 1098is 0
Observers observed in 1099is 0
Observers observed in 1100is 0
Observers observed in 1101is 0
Observers observed in 1102is 0
Observers observed in 1103is 1
Observers observed in 1104is 1
Observers observed in 1105is 0
Observers observed in 1106is 0
Observers observed in 1107is 0
Observers observed in 1108is 0
Observers observed in 1109is 0
Observers observed in 1110is 0
Observers observed in 1111is 0
Observers observed in 1112is 0
Observers observed in 1113is 0
Observers observed in 1114is 0
Observers observed in 1115is 0
Observers observed in 1116is 1
Observers observed in 1117is 1
Observers observed in 1118is 1
Observers observed in 1119is 1
Observers observed in 1120is 1
Observers observed in 1121is 1
Observers observed in 1122is 1
Observers observed in 1123is 1
Observers observed in 1124is 1
Observers observed in 1125is 1
Observers observed in 1126is 1
Observers observed in 1127is 1
Observers observed in 1128is 1
Observers observed in 1129is 1
Observers observed in 1130is 0
Observers observed in 1131is 0
Observers observed in 1132is 0
Observers observed in 1133is 0
Observers observed in 1134is 0
Observers observed in 1135is 0
Observers observed in 1136is 0
Observers observed in 1137is 0
Observers observed in 1138is 0
Observers observed in 1139is 0
Observers observed in 1140is 0
Observers observed in 1141is 0
Observers observed in 1142is 0
Observers observed in 1143is 0
Observers observed in 1144is 0
Observers observed in 1145is 0
Observers observed in 1146is 0
Observers observed in 1147is 0
